[2026-04-09T23:43:14.966Z] GET http://localhost:8765/talktome.html → 200 (4ms, 14219B)
[2026-04-09T23:43:14.972Z] GET https://fonts.googleapis.com/css2?family=IBM+Plex+Mono&display=swap → 200 (71ms, 1956B)
[2026-04-09T23:43:14.972Z] GET http://localhost:8765/theme.min.7363202e6ba39c3b4caca8b218f6f6631256ed7a41cd2f8bf46550651b07cb31.css → 200 (1ms, 5647B)
[2026-04-09T23:45:44.362Z] GET http://localhost:8766/talktome.html → 200 (2ms, 14410B)
[2026-04-09T23:45:44.366Z] GET https://fonts.googleapis.com/css2?family=IBM+Plex+Mono&display=swap → 200 (?ms, 1956B)
[2026-04-09T23:45:44.366Z] GET http://localhost:8766/theme.min.7363202e6ba39c3b4caca8b218f6f6631256ed7a41cd2f8bf46550651b07cb31.css → 200 (1ms, 5647B)
[2026-04-09T23:46:12.852Z] GET http://localhost:8766/talktome.html → 200 (?ms, 14410B)
[2026-04-09T23:46:12.854Z] GET https://fonts.googleapis.com/css2?family=IBM+Plex+Mono&display=swap → 200 (?ms, 1956B)
[2026-04-09T23:46:12.854Z] GET http://localhost:8766/theme.min.7363202e6ba39c3b4caca8b218f6f6631256ed7a41cd2f8bf46550651b07cb31.css → 200 (?ms, 5647B)
[2026-04-10T00:01:59.304Z] GET http://localhost:8767/talktome.html → 200 (1ms, 14550B)
[2026-04-10T00:01:59.307Z] GET https://fonts.googleapis.com/css2?family=IBM+Plex+Mono&display=swap → 200 (?ms, 1956B)
[2026-04-10T00:01:59.307Z] GET http://localhost:8767/theme.min.7363202e6ba39c3b4caca8b218f6f6631256ed7a41cd2f8bf46550651b07cb31.css → 200 (?ms, 5647B)
[2026-04-10T00:02:12.963Z] GET http://localhost:8767/talktome.html → 200 (2ms, 14550B)
[2026-04-10T00:02:12.966Z] GET https://fonts.googleapis.com/css2?family=IBM+Plex+Mono&display=swap → 200 (?ms, 1956B)
[2026-04-10T00:02:12.966Z] GET http://localhost:8767/theme.min.7363202e6ba39c3b4caca8b218f6f6631256ed7a41cd2f8bf46550651b07cb31.css → 200 (?ms, 5647B)
